order_id,customer_id,order_date,age,gender,city,restaurant,cuisine,meal_type,order_value,discount_pct,discount_amount,distance_km,delivery_time_min,customer_rating,membership,payment_method,order_status,promo_used,weather,device_type,order_month,month_name,quarter,day_name,is_weekend,age_group,order_value_band,customer_order_count,customer_segment,gross_revenue,net_revenue
500002,11582,2025-12-23,24,Male,Greater Noida,Royal Rasoi,Pizza,Breakfast,220.77000427246094,20,44.150001525878906,1.0,43.0,4.599999904632568,False,Upi,Delivered,False,Cloudy,Android,12,December,4,Tuesday,False,18-24,Low,3,Returning,254.27000427246094,210.1199951171875
500003,10824,2025-09-19,56,Female,Gurugram,Pizza Point,Fast Food,Dinner,684.4299926757812,30,205.3300018310547,4.699999809265137,,4.0,False,Cash,Cancelled,False,Clear,Ios,9,September,3,Friday,False,45-60,High,4,Returning,730.8800048828125,525.5499877929688
500004,11671,2025-09-01,48,Male,Kanpur,Street Kitchen,Pizza,Lunch,706.97998046875,20,141.39999389648438,7.199999809265137,31.0,3.4000000953674316,True,Upi,Delivered,False,Clear,Web,9,September,3,Monday,False,45-60,High,8,Loyal,762.1799926757812,620.780029296875
500005,11142,2025-04-13,50,Female,Agra,Tandoori House,Healthy,Lunch,569.969970703125,5,28.5,1.600000023841858,33.0,3.799999952316284,False,Cash,Delivered,False,Clear,Android,4,April,2,Sunday,True,45-60,Medium,5,Returning,605.5700073242188,577.0700073242188
500006,10701,2025-02-06,51,Female,Jaipur,Tandoori House,Pizza,Snacks,236.60000610351562,20,47.31999969482422,1.5,29.0,3.5,False,Upi,Delivered,False,Clear,Web,2,February,1,Thursday,False,45-60,Low,2,Returning,271.8500061035156,224.52999877929688
500007,11667,2025-05-22,38,Male,Chandigarh,Pizza Point,Pizza,Dinner,348.9100036621094,5,17.450000762939453,5.800000190734863,,4.0,False,Upi,Cancelled,True,Clear,Android,5,May,2,Thursday,False,35-44,Medium,5,Returning,399.2099914550781,381.760009765625
500008,11019,2025-02-06,53,Male,Greater Noida,Pizza Point,Chinese,Snacks,547.260009765625,10,54.72999954223633,0.800000011920929,33.0,4.900000095367432,False,Upi,Delivered,False,Clear,Android,2,February,1,Thursday,False,45-60,Medium,6,Loyal,580.0599975585938,525.3300170898438
500009,11236,2025-01-08,54,Female,Gurugram,Biryani Hub,Desserts,Dinner,246.22999572753906,15,36.93000030517578,6.900000095367432,49.0,2.299999952316284,False,Upi,Delivered,False,Clear,Web,1,January,1,Wednesday,False,45-60,Low,3,Returning,300.3800048828125,263.45001220703125
500010,11442,2025-08-19,37,Female,Greater Noida,Cafe Aroma,Chinese,Lunch,687.9600219726562,25,171.99000549316406,4.0,40.0,4.5,False,Debit Card,Delivered,False,Clear,Ios,8,August,3,Tuesday,False,35-44,High,3,Returning,731.9600219726562,559.969970703125
500011,11137,2025-11-29,49,Female,Noida,Urban Spice,South Indian,Lunch,412.32000732421875,20,82.45999908447266,3.9000000953674316,,4.0,True,Upi,Cancelled,True,Clear,Android,11,November,4,Saturday,True,45-60,Medium,3,Returning,455.9700012207031,373.510009765625
500012,11068,2025-10-23,57,Female,Delhi,Cafe Aroma,Pizza,Lunch,247.02999877929688,30,74.11000061035156,9.100000381469727,50.0,3.200000047683716,False,Upi,Delivered,False,Clear,Ios,10,October,4,Thursday,False,45-60,Low,4,Returning,308.8800048828125,234.77000427246094
500013,10128,2025-04-17,32,Male,Ghaziabad,Tandoori House,Chinese,Dinner,328.2900085449219,0,0.0,6.199999809265137,41.0,3.4000000953674316,True,Upi,Delivered,True,Clear,Android,4,April,2,Thursday,False,25-34,Medium,3,Returning,379.989990234375,379.989990234375
500014,10876,2025-12-14,28,Female,Noida,Cafe Aroma,Fast Food,Breakfast,366.9100036621094,15,55.040000915527344,5.0,,4.0,True,Wallet,Cancelled,False,Cloudy,Ios,12,December,4,Sunday,True,25-34,Medium,3,Returning,414.4100036621094,359.3699951171875
500015,10158,2025-01-18,42,Male,Noida,Tandoori House,North Indian,Snacks,400.7099914550781,25,100.18000030517578,6.400000095367432,,4.0,False,Upi,Cancelled,True,Hot,Web,1,January,1,Saturday,True,35-44,Medium,4,Returning,453.1099853515625,352.92999267578125
500016,10827,2025-11-09,39,Female,Jaipur,Tandoori House,North Indian,Breakfast,1323.469970703125,10,132.35000610351562,3.299999952316284,43.0,3.9000000953674316,False,Upi,Delivered,False,Rainy,Web,11,November,4,Sunday,True,35-44,Premium,2,Returning,1365.02001953125,1232.6700439453125
500017,11418,2025-03-24,23,Female,Noida,Biryani Hub,Biryani,Dinner,1038.4200439453125,20,207.67999267578125,4.199999809265137,30.0,4.400000095367432,True,Cash,Delivered,True,Clear,Android,3,March,1,Monday,False,18-24,Premium,5,Returning,1083.1199951171875,875.4400024414062
500018,10852,2025-10-15,54,Female,Chandigarh,Biryani Hub,Biryani,Dinner,789.6300048828125,10,78.95999908447266,7.0,54.0,4.099999904632568,True,Credit Card,Delivered,False,Cloudy,Ios,10,October,4,Wednesday,False,45-60,High,3,Returning,844.1300048828125,765.1699829101562
500019,10512,2025-07-13,52,Female,Lucknow,Street Kitchen,Fast Food,Snacks,505.6000061035156,20,101.12000274658203,5.300000190734863,44.0,3.5999999046325684,False,Upi,Delivered,True,Clear,Ios,7,July,3,Sunday,True,45-60,Medium,3,Returning,554.1500244140625,453.0299987792969
500020,10045,2025-08-03,19,Female,Jaipur,Urban Spice,Chinese,Dinner,597.8200073242188,10,59.779998779296875,3.5,35.0,2.4000000953674316,True,Upi,Delivered,True,Clear,Android,8,August,3,Sunday,True,18-24,Medium,2,Returning,640.0700073242188,580.2899780273438
500021,11132,2025-10-08,18,Female,Jaipur,Cafe Aroma,Fast Food,Dinner,1136.47998046875,0,0.0,4.0,37.0,3.9000000953674316,False,Cash,Delivered,False,Clear,Web,10,October,4,Wednesday,False,18-24,Premium,1,New,1180.47998046875,1180.47998046875
500022,10219,2025-08-08,36,Male,Lucknow,Biryani Hub,Desserts,Dinner,1396.27001953125,10,139.6300048828125,6.0,40.0,4.099999904632568,True,Upi,Delivered,False,Rainy,Android,8,August,3,Friday,False,35-44,Premium,1,New,1447.27001953125,1307.6400146484375
500023,10443,2025-10-16,36,Male,Chandigarh,Wok Express,Healthy,Dinner,556.1199951171875,10,55.61000061035156,2.0999999046325684,32.0,3.4000000953674316,False,Upi,Delivered,False,Clear,Ios,10,October,4,Thursday,False,35-44,Medium,6,Loyal,593.469970703125,537.8599853515625
500024,10315,2025-12-10,54,Female,Gurugram,Pizza Point,Biryani,Breakfast,781.260009765625,0,0.0,10.600000381469727,52.0,3.5999999046325684,False,Upi,Delivered,False,Hot,Android,12,December,4,Wednesday,False,45-60,High,2,Returning,848.3599853515625,848.3599853515625
500025,10177,2025-07-13,49,Male,Greater Noida,Green Plate,Fast Food,Dinner,454.7099914550781,10,45.470001220703125,4.099999904632568,25.0,4.0,False,Credit Card,Delivered,True,Clear,Web,7,July,3,Sunday,True,45-60,Medium,3,Returning,499.05999755859375,453.5899963378906
500026,10228,2025-06-07,57,Male,Noida,Green Plate,North Indian,Dinner,335.2200012207031,0,0.0,8.199999809265137,43.0,5.0,False,Upi,Delivered,False,Hot,Android,6,June,2,Saturday,True,45-60,Medium,5,Returning,393.9200134277344,393.9200134277344
500027,11727,2025-04-14,25,Female,Lucknow,Fresh Bites,Fast Food,Lunch,679.4600219726562,5,33.970001220703125,6.900000095367432,32.0,3.9000000953674316,False,Debit Card,Delivered,False,Rainy,Android,4,April,2,Monday,False,25-34,High,3,Returning,733.6099853515625,699.6400146484375
500028,11696,2025-02-03,50,Male,Gurugram,Green Plate,Fast Food,Snacks,640.6500244140625,20,128.1300048828125,3.200000047683716,42.0,5.0,False,Credit Card,Delivered,False,Clear,Android,2,February,1,Monday,False,45-60,High,2,Returning,681.8499755859375,553.719970703125
500029,10267,2025-04-12,42,Male,Agra,Fresh Bites,Fast Food,Dinner,637.0399780273438,30,191.11000061035156,3.5,46.0,3.5,False,Credit Card,Delivered,True,Clear,Android,4,April,2,Saturday,True,35-44,High,2,Returning,679.2899780273438,488.17999267578125
500030,10870,2025-05-07,41,Female,Lucknow,Royal Rasoi,Healthy,Lunch,902.280029296875,15,135.33999633789062,4.300000190734863,36.0,3.299999952316284,False,Upi,Delivered,True,Clear,Ios,5,May,2,Wednesday,False,35-44,High,9,Loyal,947.3300170898438,811.989990234375
500031,10838,2025-08-02,35,Male,Agra,Biryani Hub,Fast Food,Lunch,727.719970703125,0,0.0,7.199999809265137,46.0,4.599999904632568,False,Credit Card,Delivered,False,Cloudy,Android,8,August,3,Saturday,True,35-44,High,7,Loyal,782.9199829101562,782.9199829101562
500032,11403,2025-11-21,47,Male,Greater Noida,Pizza Point,South Indian,Lunch,548.4500122070312,0,0.0,4.900000095367432,33.0,3.9000000953674316,False,Upi,Delivered,True,Clear,Android,11,November,4,Friday,False,45-60,Medium,4,Returning,595.5999755859375,595.5999755859375
500033,10489,2025-10-23,46,Female,Lucknow,Street Kitchen,Pizza,Lunch,298.1000061035156,30,89.43000030517578,7.199999809265137,51.0,4.400000095367432,False,Wallet,Delivered,True,Cloudy,Android,10,October,4,Thursday,False,45-60,Low,4,Returning,353.29998779296875,263.8699951171875
500034,10702,2025-06-28,45,Male,Gurugram,Urban Spice,Desserts,Dinner,800.989990234375,25,200.25,4.300000190734863,33.0,4.099999904632568,False,Upi,Delivered,False,Clear,Android,6,June,2,Saturday,True,45-60,High,3,Returning,846.0399780273438,645.7899780273438
500035,10687,2025-03-21,54,Male,Greater Noida,Pizza Point,Desserts,Dinner,395.3800048828125,10,39.540000915527344,1.2000000476837158,53.0,4.300000190734863,False,Cash,Delivered,False,Cloudy,Web,3,March,1,Friday,False,45-60,Medium,3,Returning,429.5799865722656,390.0400085449219
500036,11314,2025-05-21,48,Male,Lucknow,Urban Spice,Desserts,Dinner,315.7200012207031,5,15.789999961853027,5.900000095367432,41.0,4.300000190734863,True,Upi,Delivered,False,Cloudy,Ios,5,May,2,Wednesday,False,45-60,Medium,3,Returning,366.3699951171875,350.5799865722656
500037,10996,2025-01-31,50,Male,Jaipur,Tandoori House,Desserts,Lunch,723.239990234375,5,36.15999984741211,3.5999999046325684,35.0,2.5999999046325684,False,Upi,Delivered,False,Rainy,Ios,1,January,1,Friday,False,45-60,High,2,Returning,765.8400268554688,729.6799926757812
500038,10357,2025-03-04,18,Male,Delhi,Street Kitchen,Desserts,Lunch,503.2900085449219,30,150.99000549316406,8.199999809265137,51.0,4.099999904632568,True,Upi,Delivered,True,Clear,Android,3,March,1,Tuesday,False,18-24,Medium,3,Returning,561.989990234375,411.0
500039,11681,2025-02-17,39,Female,Chandigarh,Food Junction,Chinese,Lunch,558.5399780273438,30,167.55999755859375,4.400000095367432,45.0,3.9000000953674316,True,Cash,Delivered,False,Hot,Web,2,February,1,Monday,False,35-44,Medium,4,Returning,603.9400024414062,436.3800048828125
500040,11768,2025-03-28,32,Female,Jaipur,Tandoori House,Chinese,Dinner,534.469970703125,0,0.0,4.199999809265137,34.0,3.700000047683716,False,Upi,Delivered,True,Rainy,Web,3,March,1,Friday,False,25-34,Medium,2,Returning,579.1699829101562,579.1699829101562
500041,10872,2025-10-31,23,Female,Noida,Green Plate,Desserts,Dinner,1313.1600341796875,25,328.2900085449219,5.099999904632568,47.0,4.599999904632568,True,Upi,Delivered,True,Hot,Android,10,October,4,Friday,False,18-24,Premium,3,Returning,1361.010009765625,1032.719970703125
500042,10204,2025-03-02,41,Female,Kanpur,Tandoori House,Desserts,Lunch,888.489990234375,10,88.8499984741211,4.099999904632568,,4.0,False,Upi,Cancelled,False,Rainy,Android,3,March,1,Sunday,True,35-44,High,4,Returning,932.8400268554688,843.989990234375
500043,11237,2025-11-30,42,Male,Agra,Pizza Point,Fast Food,Dinner,475.42999267578125,15,71.30999755859375,2.799999952316284,38.0,5.0,False,Upi,Delivered,False,Rainy,Web,11,November,4,Sunday,True,35-44,Medium,4,Returning,515.22998046875,443.9200134277344
500044,10552,2025-10-01,35,Female,Agra,Pizza Point,Fast Food,Snacks,371.6099853515625,30,111.4800033569336,9.100000381469727,41.0,3.5999999046325684,False,Upi,Delivered,False,Cloudy,Ios,10,October,4,Wednesday,False,35-44,Medium,3,Returning,433.4599914550781,321.9800109863281
500045,10323,2025-10-11,40,Male,Greater Noida,Street Kitchen,Biryani,Snacks,600.3300170898438,0,0.0,0.800000011920929,29.0,4.199999809265137,True,Cash,Delivered,True,Rainy,Android,10,October,4,Saturday,True,35-44,High,3,Returning,633.1300048828125,633.1300048828125
500046,10594,2025-03-21,56,Female,Delhi,Royal Rasoi,Desserts,Dinner,525.6500244140625,0,0.0,5.400000095367432,29.0,4.599999904632568,False,Debit Card,Delivered,True,Clear,Ios,3,March,1,Friday,False,45-60,Medium,4,Returning,574.5499877929688,574.5499877929688
500047,10181,2025-06-29,56,Male,Gurugram,Street Kitchen,Chinese,Lunch,509.989990234375,15,76.5,5.900000095367432,,4.0,False,Upi,Cancelled,True,Hot,Android,6,June,2,Sunday,True,45-60,Medium,6,Loyal,560.6400146484375,484.1400146484375
500048,10499,2025-09-29,52,Male,Agra,Royal Rasoi,Biryani,Dinner,312.7699890136719,10,31.280000686645508,1.7000000476837158,28.0,3.200000047683716,False,Upi,Delivered,False,Clear,Ios,9,September,3,Monday,False,45-60,Medium,3,Returning,348.7200012207031,317.44000244140625
500049,11344,2025-03-18,25,Male,Kanpur,Royal Rasoi,Fast Food,Snacks,1001.3499755859375,10,100.13999938964844,1.0,,4.0,False,Debit Card,Cancelled,True,Clear,Ios,3,March,1,Tuesday,False,25-34,Premium,4,Returning,1034.8499755859375,934.7100219726562
